    0.00 
    0.20 V
      frequency    real         imag
      257.72    -0.0002791    -0.0006090
      257.73    -0.0002952    -0.0006393
      257.74    -0.0002945    -0.0007902
      257.76    -0.0002020    -0.0008221
      257.77    -0.0001148    -0.0007360
      257.78    -0.0003115    -0.0009159
      257.79    -0.0002080    -0.0008332
      257.80    -0.0003572    -0.0007435
      257.81    -0.0002074    -0.0006883
      257.82    -0.0001962    -0.0006539
      257.83    -0.0005960    -0.0008517
      257.84    -0.0002806    -0.0006973
      257.85    -0.0002381    -0.0007977
      257.87    -0.0002116    -0.0007984
      257.88    -0.0002524    -0.0006809
      257.89    -0.0003480    -0.0007649
      257.90    -0.0000949    -0.0008054
      257.91    -0.0000888    -0.0007275
      257.92    -0.0000276    -0.0007441
      257.93    -0.0004051    -0.0006743
      257.94    -0.0004808    -0.0008015
      257.95    -0.0004425    -0.0007955
      257.96    -0.0002980    -0.0007673
      257.98    -0.0004886    -0.0007964
      257.99    -0.0001872    -0.0006780
